GameId,Season,Week,HomeTeamId,HomeTeam,AwayTeamId,AwayTeam,StadiumName,CoveredStadium,HomeScore,AwayScore,SpreadLine,TotalLine,SpreadResult,TotalResult,Weather,PrecipIntensity,PrecipProbability,PrecipType,Temperature,WindSpeed
2862,2020,6,19,Patriots,10,Broncos,Gillette Stadium,0,12,18,7,43.5,-6,30,Partly Cloudy,0,0,NA,60.36999893,6
2863,2020,5,22,Jets,1,Cardinals,MetLife Stadium,0,10,30,-7,48.5,-20,40,Mostly Cloudy,0,0,NA,65.61000061,7
2864,2020,5,25,Steelers,24,Eagles,Heinz Field,0,38,29,7.5,44,9,67,Mostly Cloudy,0.0005,0.029999999,rain,69.5,5
2865,2020,5,31,Titans,4,Bills,Nissan Stadium,0,42,16,-3,52,26,58,Clear,0,0,NA,67.33000183,2
2866,2020,5,32,Football Team,29,Rams,FedEx Field,0,10,30,-7,45,-20,40,Possible Light Rain,0.0145,0.379999995,rain,70.05999756,4
2867,2020,5,28,49ers,17,Dolphins,Levi's Stadium,0,17,43,8.5,50.5,-26,60,Clear,0,0,NA,74.41999817,8
2868,2020,5,8,Browns,14,Colts,FirstEnergy Stadium,0,32,23,1,48.5,9,55,Mostly Cloudy,0,0,NA,63.13999939,13
2869,2020,5,9,Cowboys,21,Giants,AT&T Stadium,1,37,34,7.5,52,3,71,Clear,0,0,NA,95.86000061,10
2870,2020,5,27,Seahawks,18,Vikings,Lumen Field,0,27,26,6.5,54,1,53,Rain,0.078199998,0.819999993,rain,55.77999878,13
2871,2020,5,20,Saints,26,Chargers,Mercedes-Benz Superdome,1,30,27,7,49.5,3,57,Humid,0.001,0.01,rain,79.01000214,6
2872,2020,6,4,Bills,16,Chiefs,Highmark Stadium,0,17,26,-5.5,55,-9,43,Possible Drizzle,0.0086,0.529999971,rain,49.81999969,5
2873,2020,6,5,Panthers,6,Bears,Bank of America Stadium,0,16,23,2,45,-7,39,Clear,0,0,NA,62.27000046,4
