"season","team","total_points","total_yards","rz_eff","rz_td_eff","rz_fg_eff","total_to","def_td","spec_tds"
2016,"LA",224,4203,0.857142857142857,0.485714285714286,0.371428571428571,28,1,0
2016,"MIA",363,5324,0.851063829787234,0.553191489361702,0.297872340425532,21,1,1
2016,"MIN",327,5041,0.8,0.46,0.34,13,4,3
2016,"NE",441,6180,0.9,0.633333333333333,0.266666666666667,8,0,0
2016,"NO",469,6816,0.911764705882353,0.661764705882353,0.25,23,0,0
2016,"NYG",310,5291,0.86046511627907,0.534883720930233,0.325581395348837,25,3,0
2016,"NYJ",275,5268,0.773584905660377,0.358490566037736,0.415094339622642,33,0,1
2016,"LV",416,5973,0.892857142857143,0.571428571428571,0.321428571428571,14,1,0
2016,"PHI",367,5398,0.890909090909091,0.490909090909091,0.4,20,3,0
2016,"PIT",399,5962,0.836734693877551,0.591836734693878,0.244897959183673,19,1,0
2016,"LAC",410,5708,0.873015873015873,0.523809523809524,0.349206349206349,33,5,0
2016,"SEA",354,5715,0.892857142857143,0.464285714285714,0.428571428571429,18,1,0
2016,"SF",309,4930,0.909090909090909,0.681818181818182,0.227272727272727,21,0,0
2016,"TB",354,5542,0.87037037037037,0.518518518518518,0.351851851851852,27,4,0
2016,"TEN",381,5728,0.924528301886792,0.69811320754717,0.226415094339623,18,1,0
2016,"WAS",396,6454,0.852459016393443,0.459016393442623,0.39344262295082,21,0,2
2017,"ARI",295,5026,0.8125,0.416666666666667,0.395833333333333,25,2,1
2017,"ATL",353,5837,0.836363636363636,0.509090909090909,0.327272727272727,17,2,0
2017,"BAL",395,4886,0.903846153846154,0.576923076923077,0.326923076923077,17,5,1
2017,"BUF",302,4842,0.863636363636364,0.522727272727273,0.340909090909091,16,3,0
2017,"CAR",363,5179,0.865384615384615,0.538461538461538,0.326923076923077,21,1,1
2017,"CHI",264,4599,0.818181818181818,0.606060606060606,0.212121212121212,22,3,3
2017,"CIN",290,4488,0.86046511627907,0.558139534883721,0.302325581395349,21,3,0
2017,"CLE",234,4942,0.692307692307692,0.487179487179487,0.205128205128205,39,1,1
2017,"DAL",354,5311,0.826923076923077,0.596153846153846,0.230769230769231,19,1,1
2017,"DEN",289,5185,0.75,0.395833333333333,0.354166666666667,32,4,1
2017,"DET",410,5404,0.91304347826087,0.565217391304348,0.347826086956522,22,5,2
2017,"GB",320,4891,0.857142857142857,0.619047619047619,0.238095238095238,23,2,0
2017,"HOU",338,5120,0.785714285714286,0.523809523809524,0.261904761904762,28,4,0
2017,"IND",263,4553,0.85,0.4,0.45,15,1,0
2017,"JAX",417,5855,0.94,0.64,0.3,20,7,2
2017,"KC",415,6007,0.92,0.42,0.5,11,3,1
2017,"LA",478,5784,0.898550724637681,0.550724637681159,0.347826086956522,17,3,0
2017,"LAC",355,6026,0.808510638297872,0.468085106382979,0.340425531914894,15,3,1
2017,"MIA",281,4923,0.868421052631579,0.526315789473684,0.342105263157895,28,3,0
2017,"MIN",382,5710,0.929824561403509,0.578947368421053,0.350877192982456,14,1,0
2017,"NE",458,6307,0.942857142857143,0.6,0.342857142857143,12,0,0
2017,"NO",448,6259,0.890909090909091,0.581818181818182,0.309090909090909,16,4,1
2017,"NYG",246,5028,0.794871794871795,0.487179487179487,0.307692307692308,22,2,0
2017,"NYJ",298,4884,0.914285714285714,0.571428571428571,0.342857142857143,22,0,0
2017,"LV",301,5185,0.794117647058823,0.588235294117647,0.205882352941176,27,0,0
2017,"PHI",457,5852,0.872727272727273,0.654545454545455,0.218181818181818,18,5,0
