"Rank","Season","Player","Team","Pos.","Games","Pass Snaps","Pass Rushes","Solo Sacks","Ast. Sacks","Comb. Sacks","Unblocked Sacks","FF","FR","Hurries","Hits","Knockdowns","Pressures","Pass Defl.","Passes Batted","Holding Pen Drawn"
"[object Object]","2021","Jaelan Phillips","Dolphins","DE","17","427","377","7","3","8.5","0","0","0","24","15","6","36","0","1","2"
"[object Object]","2021","Mario Addison","Bills","DE","17","306","292","7","0","7","0","2","0","28","16","1","36","0","0","1"
"[object Object]","2021","Ed Oliver","Bills","DT","17","369","369","3","2","4","0","1","0","21","22","10","36","2","0","4"
"[object Object]","2021","Fletcher Cox","Eagles","DT","16","436","435","3","1","3.5","0","1","1","23","22","8","36","0","0","4"
"[object Object]","2021","Azeez Ojulari","Giants","DE","17","466","410","7","2","8","2","1","0","21","17","5","35","0","2","2"
"[object Object]","2021","Darrell Taylor","Seahawks","LB","16","332","304","6","1","6.5","1","1","0","23","22","8","35","0","1","2"
"[object Object]","2021","Al-Quadin Muhammad","Colts","DE","17","447","430","5","2","6","0","1","0","24","19","7","35","0","0","5"
"[object Object]","2021","Dre'Mont Jones","Broncos","DE","16","396","394","5","1","5.5","0","1","1","25","16","6","34","1","1","3"
"[object Object]","2021","Dorance Armstrong","Cowboys","DE","13","305","295","4","2","5","0","0","1","25","20","6","34","1","0","1"
"[object Object]","2021","Lorenzo Carter","Giants","LB","14","358","284","5","0","5","0","2","1","21","15","3","33","2","2","1"
"[object Object]","2021","Everson Griffen","Vikings","DE","9","291","281","5","0","5","0","1","0","18","20","6","33","0","0","2"
"[object Object]","2021","Greg Gaines","Rams","DT","17","454","450","3","3","4.5","0","0","0","22","16","7","33","0","0","7"
"[object Object]","2021","Samson Ebukam","49ers","LB","17","345","333","3","3","4.5","0","1","0","19","20","5","33","1","0","1"
"[object Object]","2021","Carlos Dunlap","Seahawks","DE","17","327","291","8","1","8.5","0","1","0","20","15","5","32","3","4","0"
"[object Object]","2021","Rasheem Green","Seahawks","DT","17","503","480","5","3","6.5","0","0","0","20","18","9","32","1","2","2"
"[object Object]","2021","Armon Watts","Vikings","DT","17","384","383","5","0","5","0","2","0","22","20","5","32","1","0","1"
"[object Object]","2021","Tarell Basham","Cowboys","DE","17","375","357","3","1","3.5","0","1","1","22","20","7","32","0","0","3"
"[object Object]","2021","Matt Ioannidis","Football Team","DT","16","355","355","2","1","2.5","1","0","0","22","18","10","32","0","0","2"
"[object Object]","2021","Quinnen Williams","Jets","DT","15","340","338","5","2","6","1","0","0","16","17","5","31","3","0","2"
